! Planar, Obzor-804, 22140011, 22.4.2/3
! Date: 26.09.2023 10:57:03
! Stimulus(Гц),    S21(°)
2.89795497749E+09,-1.71756942391E+01
2.89839219610E+09,-1.71568857605E+01
2.89882941471E+09,-1.72250046634E+01
2.89926663332E+09,-1.73558515125E+01
2.89970385193E+09,-1.73838532501E+01
2.90014107054E+09,-1.70319004752E+01
2.90057828914E+09,-1.71634260206E+01
2.90101550775E+09,-1.69869791606E+01
2.90145272636E+09,-1.70920561552E+01
2.90188994497E+09,-1.67371579183E+01
2.90232716358E+09,-1.69735179791E+01
2.90276438219E+09,-1.65819154900E+01
2.90320160080E+09,-1.66347402274E+01
2.90363881941E+09,-1.66776363809E+01
2.90407603802E+09,-1.65525366911E+01
2.90451325663E+09,-1.65057045734E+01
2.90495047524E+09,-1.65563862229E+01
2.90538769385E+09,-1.66529050834E+01
2.90582491246E+09,-1.62156302788E+01
2.90626213107E+09,-1.62140918676E+01
2.90669934967E+09,-1.61142566244E+01
2.90713656828E+09,-1.62885350637E+01
2.90757378689E+09,-1.60357194919E+01
2.90801100550E+09,-1.59973628639E+01
2.90844822411E+09,-1.59581205001E+01
2.90888544272E+09,-1.55254478123E+01
2.90932266133E+09,-1.57749456566E+01
2.90975987994E+09,-1.57617801529E+01
2.91019709855E+09,-1.56762511918E+01
2.91063431716E+09,-1.56065930647E+01
2.91107153577E+09,-1.55430625825E+01
2.91150875438E+09,-1.52169332484E+01
2.91194597299E+09,-1.52702937033E+01
2.91238319160E+09,-1.51942362144E+01
2.91282041021E+09,-1.51396971018E+01
2.91325762881E+09,-1.49367169763E+01
2.91369484742E+09,-1.49542282444E+01
2.91413206603E+09,-1.46598061984E+01
2.91456928464E+09,-1.47179273737E+01
2.91500650325E+09,-1.47107513662E+01
2.91544372186E+09,-1.46210054410E+01
2.91588094047E+09,-1.44230207605E+01
2.91631815908E+09,-1.43000411612E+01
