Column1;Column2;Column3;Column4
4,37E+09;-164,36;4,37;823,3602781
4,37E+09;-164,67;4,37;810,7857064
4,37E+09;-164,97;4,37;891,1607588
4,37E+09;-165,30;4,37;868,2310584
4,37E+09;-165,63;4,37;870,8747668
4,37E+09;-165,96;4,37;860,9190399
4,37E+09;-166,28;4,37;862,8458152
4,37E+09;-166,60;4,37;877,3146165
4,37E+09;-166,93;4,37;884,3244202
4,37E+09;-167,26;4,37;866,7573264
4,37E+09;-167,59;4,37;911,75316
4,37E+09;-167,93;4,37;839,8665176
4,37E+09;-168,24;4,37;1020,937962
4,38E+09;-168,63;4,38;765,1926199
4,38E+09;-168,91;4,38;955,693038
4,38E+09;-169,27;4,38;886,3174568
4,38E+09;-169,60;4,38;895,4076205
4,38E+09;-169,94;4,38;943,8600057
4,38E+09;-170,29;4,38;887,7931127
4,38E+09;-170,63;4,38;952,3555382
4,38E+09;-170,98;4,38;906,6300147
4,38E+09;-171,32;4,38;917,1192935
4,38E+09;-171,67;4,38;944,7426896
4,38E+09;-172,02;4,38;888,5324061
4,38E+09;-172,35;4,38;966,4818079
4,38E+09;-172,72;4,38;934,9431012
4,38E+09;-173,07;4,38;943,5431098
4,38E+09;-173,42;4,38;971,806552
4,38E+09;-173,78;4,38;905,5534121
4,38E+09;-174,12;4,38;945,1612084
4,38E+09;-174,48;4,38;968,3321609
4,38E+09;-174,84;4,38;939,8313851
4,38E+09;-175,19;4,38;942,5024615
4,38E+09;-175,55;4,38;972,2636034
4,38E+09;-175,91;4,38;990,7212723
4,38E+09;-176,28;4,38;933,2356839
4,38E+09;-176,63;4,38;989,8387269
4,38E+09;-177,00;4,38;940,2252907
4,38E+09;-177,36;4,38;1022,340824
4,39E+09;-177,74;4,39;931,0829082
4,39E+09;-178,09;4,39;1007,135708
4,39E+09;-178,46;4,39;954,4515666
4,39E+09;-178,82;4,39;968,2535597
4,39E+09;-179,19;4,39;992,1534981
4,39E+09;-179,56;4,39;985,0891805
4,39E+09;-179,93;4,39;991,5360227
4,39E+09;-180,30;4,39;929,0462923
4,39E+09;-180,65;4,39;1012,561185
4,39E+09;-181,03;4,39;989,0050672
4,39E+09;-181,40;4,39;994,945308
4,39E+09;-181,77;4,39;981,6882751
4,39E+09;-182,14;4,39;980,1653533
